Plz;Ort;Longitude;Latitude
6974;"Gaißau";47.4667;9.6
9132;"Gallizien";46.55;14.5167
4210;"Gallneukirchen";48.35;14.4167
4713;"Gallspach";48.2;13.8167
6563;"Galtür";46.9667;10.1833
3292;"Gaming";46.8167;14.4167
8462;"Gamlitz";46.7203;15.5533
4851;"Gampern";47.9833;13.55
8922;"Gams bei Hieflau";47.6667;14.7833
3122;"Gansbach";48.3;15.4667
2230;"Gänserndorf";48.35;16.7333
6787;"Gargellen";46.9667;9.93333
3571;"Gars am Kamp";48.5833;15.65
4451;"Garsten";47.7167;14.3333
6793;"Gaschurn";46.9833;10.0333
8616;"Gasen";47.3833;15.5667
4673;"Gaspoltshofen";48.1333;13.7667
3852;"Gastern";48.8833;15.2167
2474;"Gattendorf";48.0167;16.9833
2191;"Gaweinstal";48.4667;16.5833
4682;"Geboltskirchen";48.15;13.6333
3494;"Gedersdorf";48.4333;15.6833
4922;"Geiersberg";47.9731;13.0342
4943;"Geinberg";48.2667;13.3
8153;"Geistthal";47.1667;15.1667
2093;"Geras";48.7833;15.6667
2201;"Gerasdorf bei Wien";48.2831;16.4667
7542;"Gerersdorf bei Güssing";47.0667;16.25
5132;"Geretsberg";48.0833;12.9333
6281;"Gerlos";47.2167;12
3542;"Gföhl";48.5167;15.4833
5133;"Gilgenberg am Weilhart";48.1333;12.9333
6295;"Ginzling";47.1;11.8
9555;"Glanegg";46.7136;14.2064
3704;"Glaubendorf";48.5;15.9333
8443;"Gleinstätten";46.7536;15.3697
8200;"Gleisdorf";47.1;15.7167
9142;"Globasnitz";46.5569;14.7028
9346;"Glödnitz";46.8667;14.1167
2640;"Gloggnitz";47.6667;15.9333
4810;"Gmunden";47.85;13.95
4819;"Gmunden";47.85;13.95
2152;"Gnadendorf";48.6167;16.4
8342;"Gnas";46.8731;15.8253
9563;"Gnesau";46.7667;13.9667
9585;"Gödersdorf";46.5717;13.8517
6811;"Göfis";47.2331;9.63306
2013;"Göllersdorf";48.4833;16.1167
5440;"Golling an der Salzach";47.6;13.1667
8635;"Gollrad";47.65;15.3
3800;"Göpfritz an der Wild";48.7167;15.4
4824;"Gosau";47.5667;13.5167
8482;"Gosdorf";46.7278;15.7925
3345;"Göstling an der Ybbs";47.8;14.9167
2464;"Göttlesbrunn";48.05;16.7333
2434;"Götzendorf an der Leitha";48.0133;16.5803
6091;"Götzens";47.2333;11.3167
6840;"Götzis";47.3331;9.63306
9362;"Grades";46.9667;14.25
8232;"Grafendorf bei Hartberg";47.35;16
9131;"Grafenstein";46.6;14.4667
3484;"Grafenwörth";48.4;15.7833
3524;"Grainbrunn";48.4833;15.2667
4201;"Gramastetten";48.3833;14.2167
2440;"Gramatneusiedl";48.0167;16.4833
6673;"Grän";47.5;10.55
8101;"Gratkorn";47.1333;15.35
8112;"Gratwein";47.1167;15.3167
8010;"Graz";47.0667;15.45
8012;"Graz";47.0667;15.45
8013;"Graz";47.0667;15.45
8015;"Graz";47.0667;15.45
8016;"Graz";47.0667;15.45
8017;"Graz";47.0667;15.45
8018;"Graz";47.0667;15.45
8019;"Graz";47.0667;15.45
8020;"Graz";47.0667;15.45
8022;"Graz";47.0667;15.45
8023;"Graz";47.0667;15.45
8024;"Graz";47.0667;15.45
8025;"Graz";47.0667;15.45
8026;"Graz";47.0667;15.45
8027;"Graz";47.0667;15.45
8028;"Graz";47.0667;15.45
8029;"Graz";47.0667;15.45
8035;"Graz";47.0667;15.45
8036;"Graz";47.0667;15.45
8056;"Graz";47.0667;15.45
9761;"Greifenburg";46.7558;13.1778
4360;"Grein";48.2167;14.85
3264;"Gresten";47.9833;15.0167
6156;"Gries am Brenner";47.05;11.4833
6182;"Gries im Sellrain";47.2;11.15
4710;"Grieskirchen";48.2333;13.8333
9112;"Griffen";46.7044;14.7328
2840;"Grimmenstein";47.6167;16.1333
6591;"Grins";47.15;10.5167
8962;"Gröbming";47.4333;13.9
5082;"Grödig";47.7333;13.0333
2301;"Groß-Enzersdorf";48.2028;16.5508
2034;"Großharras";48.6639;16.2456
8452;"Großklein";46.7361;15.4444
2143;"Großkrut";48.6439;16.7236
8734;"Großlobming";47.1833;14.8
3711;"Großmeiseldorf";48.5306;15.8794
2002;"Großmugl";48.4992;16.2306
3471;"Großriedenthal";48.4833;15.8667
2114;"Großrußbach";48.4667;16.4167
3701;"Großweikersdorf";48.4667;15.9833
4645;"Grünau im Almtal";47.85;13.95
2733;"Grünbach am Schneeberg";47.7833;15.9833
8993;"Grundlsee";47.6167;13.8167
8913;"Gstatterboden";47.6;14.6333
9722;"Gummern";46.6567;13.78
2352;"Gumpoldskirchen";48.05;16.2833
2525;"Günselsdorf";47.9333;16.2667
4623;"Gunskirchen";48.1333;13.95
2042;"Guntersdorf";48.65;16.05
2353;"Guntramsdorf";48.0333;16.3
2354;"Guntramsdorf";48.0333;16.3
9342;"Gurk";46.6064;14.5236
4942;"Gurten";48.25;13.3333
7540;"Güssing";47.0667;16.3333
4293;"Gutau";48.4;14.6
9334;"Guttaring";46.8833;14.5
4680;"Haag am Hausruck";48.1833;13.6333
3493;"Hadersdorf am Kamp";48.45;15.7167
2061;"Hadres";48.7;16.1167
4232;"Hagenberg im Mühlkreis";48.3667;14.5167
4785;"Haibach bei Schärding";48.5667;13.5
4083;"Haibach ob der Donau";48.4;13.9167
4431;"Haidershofen";48.0667;14.45
9111;"Haimburg";46.695;14.6725
2410;"Hainburg an der Donau";48.15;16.9333
8264;"Hainersdorf";47.1167;15.9333
3485;"Haitzendorf";48.4333;15.7333
8492;"Halbenrain";46.7219;15.9467
7131;"Halbturn";47.8667;16.9667
6050;"Hall in Tirol";47.2833;11.5167
6060;"Hall in Tirol";47.2833;11.5167
5400;"Hallein";47.6833;13.1
5409;"Hallein";47.6833;13.1
4830;"Hallstatt";47.55;13.65
5144;"Handenberg";48.1333;13
7473;"Hannersdorf";47.2333;16.3833
2082;"Hardegg";46.6667;15.3667
4483;"Hargelsberg";48.15;14.4167
2286;"Haringsee";48.1833;16.7833
8230;"Hartberg";47.2849;15.9745
6651;"Häselgehr";47.3167;10.5
4170;"Haslach an der Mühl";48.5833;14.0333
8361;"Hatzendorf";46.9811;15.9956
2054;"Haugsdorf";48.7;16.0667
2145;"Hausbrunn";48.6167;16.8167
2184;"Hauskirchen";48.6;16.7667
3464;"Hausleiten";48.0667;14.4333
8071;"Hausmannstätten";46.9911;15.5114
3860;"Heidenreichstein";48.8667;15.1167
8172;"Heilbrunn";47.3333;15.6167
9844;"Heiligenblut";47.0333;12.8333
8081;"Heiligenkreuz am Waasen";46.9558;15.5881
7561;"Heiligenkreuz im Lafnitztal";46.9892;16.2608
8451;"Heimschuh";46.75;15.4833
6611;"Heiterwang";47.45;10.75
4184;"Helfenberg";48.5333;14.1333
4202;"Hellmonsödt";48.4333;14.3
8411;"Hengsberg";46.8667;15.4333
5302;"Henndorf am Wallersee";47.9;13.1833
9620;"Hermagor";46.6272;13.3672
2171;"Herrnbaumgarten";48.6833;16.6833
3130;"Herzogenburg";48.2667;15.6833
4175;"Herzogsdorf";48.4333;14.1167
8920;"Hieflau";47.6;14.7333
9562;"Himmelberg";46.7567;14.0306
2371;"Hinterbrühl";48.0833;16.2333
5754;"Hinterglemm";47.3667;12.5667
3413;"Hintersdorf";48.3;16.2167
4573;"Hinterstoder";47.6833;14.15
6294;"Hintertux";47.1167;11.6833
6283;"Hippach";47.2;11.8667
8221;"Hirnsdorf";47.1833;15.8167
4242;"Hirschbach im Mühlkreis";48.4833;14.4167
8584;"Hirschegg";47.0167;14.9167
2552;"Hirtenberg";47.9167;16.1833
6952;"Hittisau";47.45;9.95
8151;"Hitzendorf";47.0333;15.3
6395;"Hochfilzen";47.4667;12.6167
2852;"Hochneukirchen";47.45;16.2
6452;"Hochsölden";46.9833;10.9667
2802;"Hochwolkersdorf";47.65;16.2833
2451;"Hof am Leithagebirge";47.95;16.5833
5322;"Hof bei Salzburg";47.8167;13.2167
4716;"Hofkirchen an der Trattnach";48.2167;13.7333
4142;"Hofkirchen im Mühlkreis";48.4833;13.8
4492;"Hofkirchen im Traunkreis";48.1333;14.3667
3421;"Höflein an der Donau";48.35;16.2667
2273;"Hohenau an der March";48.6;16.9
6845;"Hohenems";47.3667;9.68306
2223;"Hohenruppersdorf";48.45;16.65
8785;"Hohentauern";47.4333;14.4833
6914;"Hohenweiler";47.5833;9.78333
4921;"Hohenzell";48.1833;13.5333
5251;"Höhnhart";48.1667;13.2667
2020;"Hollabrunn";47.6167;16.0833
3343;"Hollenstein an der Ybbs";47.8;14.7667
2812;"Hollenthon";47.5833;16.25
5731;"Hollersbach im Pinzgau";47.2667;12.4167
6654;"Holzgau";47.2642;10.1989
6361;"Hopfgarten im Brixental";47.45;12.1667
9961;"Hopfgarten in Defereggen";46.9192;12.5364
6912;"Hörbranz";47.55;9.75
7312;"Horitschon";47.5833;16.55
4063;"Hörsching";48.2333;14.1833
3383;"Hürm";48.15;15.4
5511;"Hüttau";47.4167;13.3
9375;"Hüttenberg";46.9414;14.55
5612;"Hüttschlag";47.1667;13.2333
3544;"Idolsberg";48.5833;15.4833
7142;"Illmitz";47.75;16.8
8262;"Ilz";47.05;16
6460;"Imst";47.2333;10.7333
3052;"Innermanzing";48.1333;15.9
9932;"Innervillgraten";46.8119;12.3747
6010;"Innsbruck";47.2667;11.4
6012;"Innsbruck";47.2667;11.4
6013;"Innsbruck";47.2667;11.4
6014;"Innsbruck";47.2667;11.4
6020;"Innsbruck";47.2667;11.4
6022;"Innsbruck";47.2667;11.4
6023;"Innsbruck";47.2667;11.4
6024;"Innsbruck";47.2667;11.4
6025;"Innsbruck";47.2667;11.4
6026;"Innsbruck";47.2667;11.4
6027;"Innsbruck";47.2667;11.4
6029;"Innsbruck";47.2667;11.4
6401;"Inzing";47.2833;11.1833
8952;"Irdning";47.5;14.0833
3754;"Irnfritz";48.7333;15.55
9773;"Irschen";46.7569;13.0253
6561;"Ischgl";47.0167;10.2833
3923;"Jagenbach";48.6333;15.0333
8091;"Jagerberg";46.8536;15.7381
3763;"Japons";48.7833;15.5667
2264;"Jedenspeigen";48.5;16.8667
6200;"Jenbach";47.4;11.7833
9631;"Jenig";46.6167;13.25
8380;"Jennersdorf";46.9392;16.1467
6474;"Jerzens";47.15;10.7333
2053;"Jetzelsdorf";48.7;16.05
6373;"Jochberg";47.3;12.4167
7093;"Jois";47.95;16.7833
3441;"Judenau";48.2833;16
8750;"Judenburg";47.1667;14.6667
8573;"Kainach bei Voitsberg";47.1333;15.0833
7342;"Kaisersdorf";47.5333;16.4
8401;"Kalsdorf bei Graz";46.9653;15.4803
2391;"Kaltenleutgeben";48.1167;16.1833
8775;"Kalwang";47.4167;14.75
4862;"Kammer am Attersee";47.95;13.6
8773;"Kammern im Liesingtal";47.3833;14.9
2033;"Kammersdorf";48.6167;16.2333
8605;"Kapfenberg";47.4333;15.3
8607;"Kapfenberg";47.4333;15.3
8353;"Kapfenstein";46.8861;15.9717
9321;"Kappel am Krappfeld";46.8386;14.4864
6555;"Kappl";47.0667;10.3833
5710;"Kaprun";47.2667;12.7667
3121;"Karlstetten";48.25;15.5667
3973;"Karlstift";48.5833;14.75
2113;"Karnabrunn";48.45;16.3667
9941;"Kartitsch";46.7289;12.5008
3072;"Kasten bei Böheimkirchen";48.15;15.7833
8842;"Katsch an der Mur";47.1333;14.2833
4223;"Katsdorf";47.0422;14.4756
2572;"Kaumberg";48.0167;15.8833
3851;"Kautzen";48.9167;15.2333
4292;"Kefermarkt";48.4333;14.5333
4633;"Kematen am Innbach";48.1667;13.8667
4531;"Kematen an der Krems";48.1;14.1833
6175;"Kematen in Tirol";47.25;11.2667
3373;"Kemmelbach";48.15;15.0833
6921;"Kennelbach";47.4831;9.76667
3195;"Kernhof";47.7;14.2667
2192;"Kettlasbrunn";48.55;16.65
9074;"Keutschach";46.5931;14.1889
3412;"Kierling";48.3;16.2667
3233;"Kilb";48.1;15.4
8650;"Kindberg";47.5;15.45
8082;"Kirchbach in Steiermark";46.9317;15.6619
3470;"Kirchberg am Wagram";48.4333;15.8833
3932;"Kirchberg am Walde";47.35;15.9833
2880;"Kirchberg am Wechsel";47.6;15.9833
3204;"Kirchberg an der Pielach";48.0167;15.4333
8324;"Kirchberg an der Raab";46.9858;15.7669
3811;"Kirchberg an der Wild";48.75;15.4
5232;"Kirchberg bei Mattighofen";48.0333;13.1
6365;"Kirchberg in Tirol";47.45;12.3167
6322;"Kirchbichl";47.5167;12.0833
4560;"Kirchdorf an der Krems";47.9;14.1167
6382;"Kirchdorf in Tirol";47.5667;12.45
4932;"Kirchheim im Innkreis";48.2;13.3833
2860;"Kirchschlag in der Buckligen Welt";47.5;16.2833
3241;"Kirnberg an der Mank";48.0667;15.3167
2421;"Kittsee";48.0833;17.0667
6370;"Kitzbühel";47.45;12.3833
8442;"Kitzeck im Sausal";46.7667;15.4333
9010;"Klagenfurt";46.6247;14.3053
9013;"Klagenfurt";46.6247;14.3053
9020;"Klagenfurt";46.6247;14.3053
9022;"Klagenfurt";46.6247;14.3053
9023;"Klagenfurt";46.6247;14.3053
9024;"Klagenfurt";46.6247;14.3053
9025;"Klagenfurt";46.6247;14.3053
9026;"Klagenfurt";46.6247;14.3053
9027;"Klagenfurt";46.6247;14.3053
9028;"Klagenfurt";46.6247;14.3053
9029;"Klagenfurt";46.6247;14.3053
4564;"Klaus an der Pyhrnbahn";47.8167;14.15
5603;"Kleinarl";47.2833;13.3167
9345;"Kleinglödnitz";46.85;14.1333
2431;"Kleinneusiedl";48.0833;16.6
3660;"Kleinpöchlarn";48.2167;15.2167
4442;"Kleinraming";48;14.4833
4464;"Kleinreifling";47.8167;14.6333
4115;"Kleinzell im Mühlkreis";48.45;13.9833
7013;"Klingenbach";47.75;16.55
8493;"Klöch";46.7647;15.9656
6754;"Klösterle";46.7264;13.9183
3400;"Klosterneuburg";48.3;16.3167
3402;"Klosterneuburg";48.3;16.3167
3403;"Klosterneuburg";48.3;16.3167
9376;"Knappenberg";46.9344;14.5722
8720;"Knittelfeld";47.2167;14.8167
8722;"Knittelfeld";47.2167;14.8167
7332;"Kobersdorf";47.6;16.4
6842;"Koblach";47.3331;9.6
8580;"Köflach";46.85;13.8667
8191;"Koglhof";47.3167;15.6833
7512;"Kohfidisch";47.1667;16.35
9815;"Kolbnitz";46.8667;13.3167
4154;"Kollerschlag";48.6;13.8333
6114;"Kolsass";47.2833;11.6333
3433;"Königstetten";48.3;16.1333
4280;"Königswiesen";48.4;14.8333
4794;"Kopfing im Innkreis";48.4333;13.65
5321;"Koppl";47.8;13.1667
2100;"Korneuburg";48.35;16.3333
6345;"Kössen";47.6667;12.4
9231;"Köstenberg";46.65;14.0167
3623;"Kottes";48.4167;15.3
2542;"Kottingbrunn";47.95;16.2167
9071;"Köttmannsdorf";46.5614;14.2339
9311;"Kraig";46.8131;14.3686
8854;"Krakaudorf";47.1667;14.0167
6233;"Kramsach";47.45;11.8667
8714;"Kraubath an der Mur";47.3;14.9333
3500;"Krems an der Donau";48.4167;15.6
9862;"Kremsbrücke";46.9472;13.6275
4550;"Kremsmünster";48.05;14.1333
4631;"Krenglbach";48.2;13.95
7031;"Krensdorf";47.7833;16.4167
8670;"Krieglach";47.5333;15.55
5743;"Krimml";47.2167;12.1833
